Title,Lien,Baseline,Difficulty,Featured,Logo,Typologie,Published,Categorie,opensource,Pratiques,Objectifs projet,Défis,Défis créatifs,Lien d'apprentissage,Qui ?
Dexter,https://rundexter.com/,chatbot,,,Dexter_is_a_chat_and_voice_automation_platform. (https://dl.airtable.com/.attachments/389b836132c8b3c2699c3d902b43f6d9/4d519db8/Dexter_is_a_chat_and_voice_automation_platform.),,,,,,,,,,
Google AIY,https://intl.target.com/p/-/A-53417081?disable_sapphire=true&,,,,,,,,,,,,,,
Hotjar ,,Data analytics,,,Hotjar_hotjar__Twitter (https://dl.airtable.com/.attachments/85db763ebe212ec148d1abea1611d1bf/2685a776/Hotjar_hotjar__Twitter),,,,,,,,,,
HP reveal,https://www.hpreveal.com/,,,,HP_Reveal_on_the_App_Store (https://dl.airtable.com/.attachments/8228968e6e63a16f4087a6e9fea2bcbb/32ef4406/HP_Reveal_on_the_App_Store),,,,,,,,,,
hubspot,http://hubspot.com,,,,HubSpot__LinkedIn (https://dl.airtable.com/.attachments/4052a8b1e9b1a2707ad8b6f433fd846a/13018046/HubSpot__LinkedIn),,,,,,,Persona,,,
Inventaire,http://inventaire.io,Plateforme de partage de livres. Chacun peut y ajouter les livres de sa propre bibliothèque,4,,inventaire_on_Twitter_inventaire.io_now_accept_donations_in_... (https://dl.airtable.com/.attachments/9b8947cb1f12680fca0b66862aed58e9/985be81f),Plateforme,checked,,checked,,,,,,
Journal du futur,,,,,,,,,,,,,,,
mini studio photo,,,,,,Hardware,,,,,,,,,
Papier et crayons,,,,,,,,,,,,,Blackout poems ,,
Sketch Systems,https://sketch.systems/,Design Systems,,,Sketch_software_-_Wikipedia (https://dl.airtable.com/.attachments/51679c643137f4fdbb1d82bfcad054c0/f6dfb810/Sketch_software_-_Wikipedia),,,,,,,,,,
Speechify,https://www.getspeechify.com/,,,,Speechify_Text_To_Speech_-_Wikipedia (https://dl.airtable.com/.attachments/4a1e54bbe2d45309ade579ca0f3f6c39/ca62c3f9/Speechify_Text_To_Speech_-_Wikipedia),"App,Plugin",,,,,,,,,
stabilisateur tel,,,,,,Hardware,,,,,,,,,
TheReady tensions,https://theready.com/store/tension-and-practice-cards,,,,,,,,,,,,,,
Userforge,https://userforge.com/,Outils design thinking faire des users,,,UserForge_on_Twitter_Collaborizm_Thanks_for_the_mention__ (https://dl.airtable.com/.attachments/24b5d4a4d347faca1d134e61da0e008e/4f6548b9/UserForge_on_Twitter_Collaborizm_Thanks_for_the_mention__),,,,,,,,,,
3Dwarehouse,https://3dwarehouse.sketchup.com/,,1,,3D_Warehouse_3DWarehouse__Twitter (https://dl.airtable.com/Vxfa6hP8S1yZezvlneV5_3D_Warehouse_3DWarehouse__Twitter),Bibliothèque,,3D,,"Design produit,Maker",Concevoir,,,,
Cubecraft,http://cubecraft.technoculture.club,,1,,CubeCraft_Games_is_fundraising_for_Mind_-_The_Mental_Health_Charity (https://dl.airtable.com/.attachments/2c32c5c6c989915f420bb03afae29786/570c4824/CubeCraft_Games_is_fundraising_for_Mind_-_The_Mental_Health_Charity),Webapp,,3D,,"Design produit,Maker",Concevoir,,,,
Fusion 360,https://www.autodesk.com/products/fusion-360/overview,,4,,Fusion_360_Core_Skills_Learning_Path__Pluralsight (https://dl.airtable.com/gKoiaEdBR6aBayQk58EO_Fusion_360_Core_Skills_Learning_Path__Pluralsight),Plateforme,,3D,,"Design produit,Maker",Concevoir,,,,
Makercase,http://makercase.com,,1,,MakerCase_-_Easy_Laser_Cut_Case_Design (https://dl.airtable.com/FpIfewPQNWMhLFp8Fz8j_MakerCase_-_Easy_Laser_Cut_Case_Design),Webapp,,3D,,"Design produit,Maker",Concevoir,,,,
Openscad,http://openscad.org,,2,,OpenScad_logo_-_Openscad_-_T-Shirt__TeePublic_DE (https://dl.airtable.com/.attachments/73a9a4a2d44675aedf040bb2078e0f04/dfd2148f/OpenScad_logo_-_Openscad_-_T-Shirt__TeePublic_DE),Logiciel,,3D,,"Design produit,Maker",Concevoir,,,,
Poly,https://poly.google.com/,,1,,Poly (https://dl.airtable.com/Zt0AylUYRib0woi6JSQr_Poly),Bibliothèque,,3D,,"Design produit,Maker",Concevoir,,,,
Sketchfab,https://sketchfab.com,,2,,Official_Press_Kit_-_Sketchfab (https://dl.airtable.com/6SkH4ruCStyofzkl8WNw_Official_Press_Kit_-_Sketchfab),Bibliothèque,,3D,,"Design produit,Maker",Concevoir,,,,
Sketchup,https://www.sketchup.com/fr,,2,,__sketchup_logo (https://dl.airtable.com/00IP1KUKRp6uFOODPAAf___sketchup_logo),Logiciel,,3D,,"Design produit,Maker",Concevoir,,,,
Thingiverse,https://thingiverse.com,,1,,Image_-_Thingiverse_Logo.png__Community_Central__FANDOM_powered_... (https://dl.airtable.com/VnSPjTmQfedKnjKnYNRA_Image_-_Thingiverse_Logo.png__Community_Central__FANDOM_powered_...),"Bibliothèque,Plateforme",,3D,,"Design produit,Maker",Concevoir,,,,
TinkerCAD,https://www.tinkercad.com/,,2,,tinkercad_logo_-_Morse_Institute_Library_Natick_MA (https://dl.airtable.com/fPrKjaMSBWCg0J61mgac_tinkercad_logo_-_Morse_Institute_Library_Natick_MA),Webapp,,3D,,"Design produit,Maker",Concevoir,,,,
Zephyr,https://www.3dflow.net/3df-zephyr-free/,Logiciel de photogrametrie avec version freemium,4,,3Dflow_SRL_Press_kit_-_3Dflow (https://dl.airtable.com/.attachments/03a1664322e0208639da4df206e40740/641e7b5b/3Dflow_SRL_Press_kit_-_3Dflow),Logiciel,,3D,,,,,,,
